id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_usaha,satuan,tahun
145,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,UNIT,2018
146,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,408,UNIT,2018
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,177,UNIT,2018
148,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,371,UNIT,2018
149,32,JAWA BARAT,3215,KABUPATEN KARAWANG,275,UNIT,2018
150,32,JAWA BARAT,3216,KABUPATEN BEKASI,200,UNIT,2018
151,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,71,UNIT,2018
152,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,156,UNIT,2018
153,32,JAWA BARAT,3271,KOTA BOGOR,198,UNIT,2018
154,32,JAWA BARAT,3272,KOTA SUKABUMI,0,UNIT,2018
155,32,JAWA BARAT,3273,KOTA BANDUNG,1052,UNIT,2018
156,32,JAWA BARAT,3274,KOTA CIREBON,143,UNIT,2018
157,32,JAWA BARAT,3275,KOTA BEKASI,252,UNIT,2018
158,32,JAWA BARAT,3276,KOTA DEPOK,0,UNIT,2018
159,32,JAWA BARAT,3277,KOTA CIMAHI,114,UNIT,2018
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,UNIT,2018
161,32,JAWA BARAT,3279,KOTA BANJAR,0,UNIT,2018
162,32,JAWA BARAT,3201,KABUPATEN BOGOR,453,UNIT,2019
163,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,72,UNIT,2019
164,32,JAWA BARAT,3203,KABUPATEN CIANJUR,500,UNIT,2019
165,32,JAWA BARAT,3204,KABUPATEN BANDUNG,258,UNIT,2019
166,32,JAWA BARAT,3205,KABUPATEN GARUT,173,UNIT,2019
167,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,33,UNIT,2019
168,32,JAWA BARAT,3207,KABUPATEN CIAMIS,52,UNIT,2019
169,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,UNIT,2019
170,32,JAWA BARAT,3209,KABUPATEN CIREBON,244,UNIT,2019
171,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,90,UNIT,2019
172,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,190,UNIT,2019
173,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,54,UNIT,2019
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,189,UNIT,2019
175,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,138,UNIT,2019
176,32,JAWA BARAT,3215,KABUPATEN KARAWANG,442,UNIT,2019
